,ID,Tracks
0,3221550,...Ready for It?
1,3281773,End Game
2,3306083,I Did Something Bad
3,3306086,Dont Blame Me
4,3283025,Delicate
5,3210592,Look What You Made Me Do
6,3306084,So It Goes...
7,3280165,Gorgeous
8,3283019,Getaway Car
9,3305019,King of My Heart
10,3306080,Dancing With Our Hands Tied
11,3281502,Dress
12,3283031,This Is Why We Cant Have Nice Things
13,3300013,Call It What You Want
14,3281524,New Years Day
